"id","season","year","location","students"
108,"Winter",2026,2,"[2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091]"
109,"Spring",2026,1,"[2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2115,2116,2117,2118]"
105,"Spring",2025,1,"[2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036]"
104,"Winter",2025,2,"[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010]"
107,"Fall",2025,1,"[2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2069,2070,2071,2072,2073,2074,2075,2076]"
106,"Summer",2025,2,"[2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049]"
102,"Summer",2024,2,"[1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952]"
103,"Fall",2024,1,"[1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978]"
96,"Spring",2024,1,"[1269,1270,1271,1272,1273,1274,1275,1276,1277,1278,1279,1280,1281,1282,1283,1284,1286,1287,1288,1289,1290,1291,1292,1293,1294]"
94,"Fall",2023,1,"[904,916,917,918,919,921,922,923,925,928,929,930,932,934,936,969,970,972,976,987,1010,1109,1122]"
95,"Summer",2023,2,"[1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994]"
93,"Spring",2023,1,"[865,978,980,994,997,1001,1007,1009,1028,1035,1036,1037,1038,1039,1040,1042,1200,1208,1211,1212,1213,1215,1216,1217,1219]"
92,"Fall",2022,1,"[704,721,722,723,724,726,727,728,729,731,732,733,735,853,872,882,883,885,887,905,910,924,931,944,967]"
91,"Spring",2022,1,"[725,755,804,825,836,838,842,845,846,850,851,852,859,861,866,888,892,913,1021,1053,1191,1194,1201,1204,1206,1207]"
90,"Fall",2021,1,"[849,857,860,867,938,950,952,1041,1046,1058,1062,1063,1069,1071,1076,1087,1092,1093,1098,1099,1102,1113,1128,1228,1234]"
89,"Spring",2021,1,"[695,848,875,879,893,951,964,982,988,999,1050,1051,1059,1061,1084,1096,1100,1108,1132,1145,1166,1177,1180,1186,1224,1229]"
87,"Spring",2020,1,"[961,977,979,984,1000,1012,1067,1070,1077,1085,1089,1101,1110,1115,1118,1126,1130,1136,1143,1196,1203,1225,1233,1237,1243,1256]"
88,"Fall",2020,1,"[947,958,1044,1052,1064,1074,1081,1082,1083,1090,1095,1103,1112,1137,1139,1140,1147,1163,1170,1172,1175,1178,1188,1197,1221,1222]"
86,"Fall",2019,1,"[983,989,990,995,1025,1043,1049,1056,1065,1072,1117,1119,1134,1138,1155,1160,1185,1189,1198,1210,1220,1223,1232,1245,1250,1254]"
85,"Spring",2019,1,"[1027,1055,1066,1075,1104,1107,1123,1133,1141,1142,1149,1151,1153,1157,1199,1226,1235,1239,1247,1257,1258,1260,1262,1263,1264,1266]"
83,"Spring",2018,1,"[757,793,813,874,880,900,908,920,933,948,949,954,956,962,974,1008,1011,1013,1020,1024,1026,1054,1068,1267]"
