"id","person","image","class","major"
695,696,,89,"Computer Science"
696,697,"c8cc05ce-69d0-40b7-83bf-6fe0a2e542b9",75,"Media Informatics"
697,698,"1ed9823e-bc03-4bb0-bd70-f6a375a4fff6",78,"Computer Science"
698,699,"68fa36d8-7d8f-409c-abdf-cd565cf711b7",84,"Informatics"
699,700,"a8c68aed-9004-4cda-9ae2-b83051393e93",77,"Computational Science and Engineering"
700,701,"7b3ac758-ce1b-4774-80f5-4474b62f812a",77,"Power Engineering"
701,702,"6cee96e9-8d1a-4086-b2d7-d838e6672006",76,"Media Informatics"
702,703,"0de33d15-b9f1-49ae-a7ec-bd6e5e3c5463",76,"Neuro-Cognitive Psychology"
703,704,"a0a142fc-c1aa-4a3d-9433-28a81974a539",77,"Business Administration"
704,705,"5ebe5e10-87d7-4156-83ae-0d78bd222de1",92,"Consumer Science"
705,706,"c89a15bd-650c-40e9-8cc2-4fccb810d6ab",76,"Business Education"
706,707,"147d31fe-59bd-4b4c-a1e4-bae8d858d0da",78,"Physics"
707,708,"b2cadee4-3ee5-45d6-ba15-7d9dbba5697b",76,"Economics"
708,709,"c596004d-37b0-4943-820b-0d23492cf75e",77,"Consumer Affairs"
709,710,"48b47676-b99f-42ef-ab40-d201f7a1add9",78,"Business Administration"
710,711,"53d7f73d-aafa-420f-bd18-c20a3b7573e9",76,"Management & Technology"
711,712,"9d5cb68e-11ae-4102-97ae-9e4c78b40b6f",77,"Computer Science"
712,713,"807d676a-6524-496c-9fff-a3636f9a9bba",77,"Computer Science"
713,714,"19dc4483-f434-46ad-a9a6-7a6aa14a19da",76,"Information Systems"
714,715,"6aa38bcb-142c-4fab-9876-1b52baf564ed",77,"Business Administration"
715,716,"31acba93-611f-4cd8-8381-c6729afe48c3",76,"Computer Science"
716,717,"c043f2fd-bff0-4821-9b13-a257b16aa733",77,"Computer Science"
717,718,"b66736d4-be3a-4522-9ec5-be196152498b",77,"Management with Technology"
718,719,"a8b0853f-3802-42d6-a054-75e98a3fa1db",77,"Mechanical Engineering and Management"
719,720,"0b852660-1d76-4574-8cae-ea27db2e5346",77,"Business Administration"
720,721,"6336127c-f0d4-47b2-8143-0ff1538cc730",77,"Communication Studies"
721,722,"6de4c91a-59c9-4431-abc8-54321ec05ea2",92,"Power Engineering and Management"
722,723,"d72fa281-f7c1-48c9-82e1-e904255a9e12",92,"Computer Science"
723,724,"8ead9f77-495b-49e7-98a4-e88b87ca4816",92,"Management and Technology"
724,725,"86ffea26-5373-4bb3-a1bd-c52a98ff0dee",92,"Robotics, Cognition, Intelligence"
725,726,"ca37ab5f-7fff-410d-8846-a6157c858554",91,"MSc in Robotics, Cognition, Intelligence (TUM)"
726,727,"0991ec53-d605-40b3-8100-d7aa9f9af644",92,"Physics"
727,728,"75068fe1-c7d9-4aff-9bf1-4ad8aaa83449",92,"Management and Technology"
728,729,"78cd9d70-37c2-46a6-b53a-665beec33839",92,"Management and Technology"
729,730,"5097c60c-7642-4711-a27a-9486ef284ece",92,"Management and Technology"
730,731,"9038f7fe-0e21-45a1-94f9-9954ce2cd265",82,"Business Administration"
731,732,"c7801801-f888-497f-98b8-1327d3e4e0ed",92,"Robotics, Cognition, Intelligence"
732,733,"51792fa1-fd05-4019-9952-c335197744b0",92,"Electrical and Computer Engineering"
733,734,"f3f9e3e5-5561-4bda-9fbd-49e180f224e1",92,"Mechanical Engineering"
734,735,"6aaaa008-4028-4e1b-ac49-ba83d1127c23",82,"Information Systems"
735,736,"13ee2d24-2ab3-4e17-ab53-fe6af281660d",92,"Neuroengineering"
736,737,"f97a9ec0-a77b-4216-9485-f2a0624dd700",79,"American History, Culture and Society "
737,738,"c992afb1-4e12-4d4a-9e52-19a37d2e4a66",84,"Management & Technology"
738,739,"5c0fa6de-4c45-4ab4-a6d5-85f8ae78eda1",72,"Business Administration"
739,740,"380c1282-bc54-4eaa-a956-0c4fde4f6467",72,"Media Informaticsformatics"
740,741,"74c34947-f615-4acb-b5b0-87a5db66e735",84,"Management & Technology"
741,742,"c3a4bae5-73b7-4e35-ab79-2d5c88a39a0b",72,"Physics"
742,743,"9ef7a335-6966-4083-9b08-64aedb4c0176",74,"Consumer Affairs"
743,744,"8a3d4d05-b07b-47f0-a509-be117b90f88c",82,"Human Factors Engineering"
744,745,"d3b6a437-7920-4a4c-8aa7-d04845694ebc",81,"Medicine"
745,746,"3cd6cb80-4ad0-41e3-9ec5-03831c866f12",82,"Management & Technology"
746,747,"5d7a1d5c-b9e8-4fc7-886c-fce3cbe9dd62",84,"Management & Technology"
747,748,"32666539-0729-4bdd-8b2a-da26f124afc5",82,"Information Systems"
748,749,"bb8e8293-9803-4fde-9067-81019dbb1dcf",74,"Management & Technology"
749,750,"1d4e8e60-38f0-4fef-8a0b-973b921a4a39",84,"Informatics"
